timestamp,ground_truth,prediction,anomaly_score,anomaly_likelihood
2012-03-16 12:45:20,490.0,783.0,0.0,0.5
2012-03-16 12:45:30,808.0,490.0,0.0,0.5
2012-03-16 12:45:40,1306.0,808.0,0.0,0.5
2012-03-16 12:45:50,1545.0,1306.0,0.0,0.5
2012-03-16 12:46:00,821.0,1545.0,0.0,0.5
2012-03-16 12:46:10,738.0,821.0,0.0,0.5
2012-03-16 12:46:20,8697.0,738.0,0.0,0.5
2012-03-16 12:46:30,10717.0,859.2805499999997,0.0,0.5
2012-03-16 12:46:40,13217.0,10717.0,0.0,0.5
2012-03-16 12:46:50,13728.0,13217.0,0.0,0.5
2012-03-16 12:47:00,13955.0,859.2805499999997,0.0,0.5
2012-03-16 12:47:10,13139.0,13955.0,0.0,0.5
2012-03-16 12:47:20,15532.0,13139.0,0.0,0.5
2012-03-16 12:47:30,16834.0,15532.0,0.0,0.5
2012-03-16 12:47:40,15811.0,16834.0,0.0,0.5
2012-03-16 12:47:50,17203.0,15811.0,0.0,0.5
2012-03-16 12:48:00,12097.0,17203.0,0.025,0.5
2012-03-16 12:48:10,13822.0,12097.0,0.025,0.5
2012-03-16 12:48:20,13468.0,13822.0,0.025,0.5
2012-03-16 12:48:30,13215.0,13468.0,0.025,0.5
2012-03-16 12:48:40,11137.0,13215.0,0.025,0.5
2012-03-16 12:48:50,13103.0,11137.0,0.025,0.5
2012-03-16 12:49:00,13796.0,13103.0,0.025,0.5
2012-03-16 12:49:10,13116.0,13796.0,0.025,0.5
2012-03-16 12:49:20,12097.0,13116.0,0.025,0.5
2012-03-16 12:49:30,37133.0,12097.0,0.025,0.5
2012-03-16 12:49:40,13757.0,37133.0,0.025,0.5
2012-03-16 12:49:50,13209.0,13801.508999999998,0.025,0.5
2012-03-16 12:50:00,13526.0,13152.591029999998,0.025,0.5
2012-03-16 12:50:10,13129.0,13169.513721,0.025,0.5
2012-03-16 12:50:20,45722.0,13788.156299999999,0.025,0.5
2012-03-16 12:50:30,24166.0,13157.3596047,0.025,0.5
2012-03-16 12:50:40,12281.0,24166.0,0.025,0.5
2012-03-16 12:50:50,10333.0,12281.0,0.025,0.5
2012-03-16 12:51:00,10214.0,10333.0,0.025,0.5
2012-03-16 12:51:10,10709.0,10214.0,0.0,0.5
2012-03-16 12:51:20,10719.0,10709.0,0.0,0.5
2012-03-16 12:51:30,10847.0,10719.0,0.0,0.5
2012-03-16 12:51:40,10344.0,13485.399999999998,0.0,0.5
2012-03-16 12:51:50,8602.0,10344.0,0.0,0.5
2012-03-16 12:52:00,10625.0,8602.0,0.0,0.5
2012-03-16 12:52:10,10710.0,10625.0,0.0,0.5
2012-03-16 12:52:20,27171.0,10422.91,0.0,0.5
2012-03-16 12:52:30,8665.0,10422.91,0.0,0.5
2012-03-16 12:52:40,11308.0,8665.0,0.0,0.5
2012-03-16 12:52:50,10325.0,11308.0,0.0,0.5
2012-03-16 12:53:00,10444.0,10325.0,0.0,0.5
2012-03-16 12:53:10,13666.0,10444.0,0.0,0.5
2012-03-16 12:53:20,9943.0,10408.675899999998,0.0,0.5
2012-03-16 12:53:30,10883.0,10741.6708,0.0,0.5
2012-03-16 12:53:40,10460.0,10741.6708,0.0,0.5
2012-03-16 12:53:50,10448.0,10784.06956,0.0,0.5
2012-03-16 12:54:00,10543.0,10424.073129999997,0.0,0.5
2012-03-16 12:54:10,9120.0,10431.251190999998,0.0,0.5
2012-03-16 12:54:20,13189.0,10464.775833699998,0.0,0.5
2012-03-16 12:54:30,12403.0,13189.0,0.0,0.5
2012-03-16 12:54:40,11069.0,12403.0,0.0,0.5
2012-03-16 12:54:50,8984.0,8667.45,0.0,0.5
2012-03-16 12:55:00,11068.0,11152.509999999998,0.0,0.5
2012-03-16 12:55:10,10934.0,10464.775833699998,0.0,0.5
2012-03-16 12:55:20,11391.0,10464.775833699998,0.0,0.5
2012-03-16 12:55:30,10888.0,13539.579999999998,0.0,0.5
2012-03-16 12:55:40,9068.0,11206.309899999998,0.0,0.5
2012-03-16 12:55:50,10977.0,10846.7340844,0.0,0.5
2012-03-16 12:56:00,11763.0,10846.7340844,0.0,0.5
2012-03-16 12:56:10,11335.0,10885.813859079999,0.0,0.5
2012-03-16 12:56:20,11437.0,9075.84,0.0,0.5
2012-03-16 12:56:30,9306.0,9075.84,0.0,0.5
2012-03-16 12:56:40,15310.0,11244.91693,0.0,0.5
2012-03-16 12:56:50,12246.0,11244.91693,0.0,0.5
