timestamp,total,total_tcp,total_http,total_udp,size,size_tcpsize_http,size_udp
2012-03-16 12:30:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:30:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:30:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:30:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:30:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:30:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:31:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:31:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:31:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:31:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:31:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:31:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:32:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:32:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:32:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:32:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:32:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:32:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:33:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:33:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:33:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:33:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:33:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:33:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:34:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:34:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:34:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:34:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:34:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:34:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:35:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:35:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:35:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:35:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:35:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:35:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:36:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:36:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:36:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:36:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:36:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:36:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:37:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:37:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:37:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:37:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:37:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:37:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 12:38:00,0.5,0.5,0.5,0.5,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874
2012-03-16 12:38:10,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874
2012-03-16 12:38:20,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874
