timestamp,total,total_tcp,total_http,total_udp,size,size_tcp,size_http,size_udp
2012-03-16 20:30:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:30:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:30:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:30:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:30:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:30:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:31:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:31:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:31:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:31:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:31:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:31:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:32:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:32:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:32:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:32:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:32:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:32:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:33:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:33:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:33:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:33:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:33:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:33:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:34:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:34:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:34:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:34:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:34:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:34:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:35:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:35:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:35:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:35:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:35:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:35:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:36:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:36:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:36:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:36:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:36:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:36:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:37:00,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:37:10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:37:20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:37:30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:37:40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:37:50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012-03-16 20:38:00,0.5,0.5,0.5,0.5,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874
2012-03-16 20:38:10,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874
2012-03-16 20:38:20,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874
2012-03-16 20:38:30,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874
2012-03-16 20:38:40,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874
2012-03-16 20:38:50,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874
2012-03-16 20:39:00,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874,0.9583692202575874
