timestamp,total,total_tcp,total_http,total_udp,size,size_tcp,size_http,size_udp
datetime,int,int,int,int,int,int,int,int
T,,,,,,,,
2012-03-16 13:42:17,15602,15361,2,65,3859625,3838251,143,8954
2012-03-16 13:42:27,16518,16212,8,110,3948785,3924525,1237,9519
2012-03-16 13:42:37,14170,13963,17,23,4011238,3994504,7258,2816
2012-03-16 13:42:47,16296,16024,1,85,4414798,4391522,76,9954
2012-03-16 13:42:57,15968,15758,2,23,4287490,4271557,443,2569
2012-03-16 13:43:07,17299,17087,9,28,5264942,5247054,1930,4533
2012-03-16 13:43:17,17344,17136,2,28,5512432,5496660,510,2968
2012-03-16 13:43:27,14803,14596,6,25,4850191,4833975,1038,2577
2012-03-16 13:43:37,17761,17526,8,54,5767548,5748923,2091,5613
2012-03-16 13:43:47,16938,16687,19,67,4786936,4765607,4807,8295
2012-03-16 13:43:57,16608,16361,5,48,4505511,4483560,1162,7431
2012-03-16 13:44:07,14477,14187,13,102,4418706,4391846,11291,13259
2012-03-16 13:44:17,17588,17369,2,43,5593946,5575746,265,5768
2012-03-16 13:44:27,16916,16661,6,71,4827631,4804225,1038,9549
2012-03-16 13:44:37,23560,23300,3,75,6406519,6383054,519,10145
2012-03-16 13:44:47,33746,33507,4,57,9700576,9681034,4183,6682
2012-03-16 13:44:57,36178,35968,9,40,9562521,9546273,7769,4254
2012-03-16 13:45:07,17549,17328,7,35,4759615,4742243,4702,3865
2012-03-16 13:45:17,17326,17114,4,32,5406721,5390765,4183,3258
2012-03-16 13:45:27,16345,16123,14,35,4473175,4454064,9404,5074
2012-03-16 13:45:37,17148,16819,9,138,4517556,4488341,5218,15306
2012-03-16 13:45:47,14156,13850,6,130,4205029,4179651,4680,12818
2012-03-16 13:45:57,17313,17072,329,61,5364758,5346197,444167,5753
2012-03-16 13:46:07,24233,23999,67,45,11886800,11867047,54921,6214
2012-03-16 13:46:17,21768,21524,109,57,9832536,9813166,136618,5960
2012-03-16 13:46:27,20774,20466,15,111,10347186,10320435,3516,12098
2012-03-16 13:46:37,17861,17628,12,50,5609902,5590788,2544,5756
2012-03-16 13:46:47,16303,16086,8,38,4413009,4395878,10329,4247
2012-03-16 13:46:57,16322,16090,1,53,4412058,4391540,262,7808
2012-03-16 13:47:07,17980,17701,13,90,5878838,5855960,2468,9431
2012-03-16 13:47:17,19267,19049,8,29,8990137,8973448,7887,3077
2012-03-16 13:47:27,19708,19472,0,46,7203222,7179791,0,9176
2012-03-16 13:47:37,18122,17881,12,53,6263193,6240168,2320,9749
2012-03-16 13:47:47,16129,15882,99,63,4435458,4409747,93887,12425
2012-03-16 13:47:57,16767,15851,35,719,4529558,4360680,11791,154832
2012-03-16 13:48:07,15436,14183,36,1053,4566633,4326534,25145,225828
2012-03-16 13:48:17,19920,19214,1350,515,6401531,6286144,1747242,101605
2012-03-16 13:48:27,16541,16292,36,63,4496350,4470112,16418,12287
2012-03-16 13:48:37,15969,15766,31,31,4348060,4332630,17347,3266
2012-03-16 13:48:47,14703,14438,294,81,4579543,4557506,296102,8817
2012-03-16 13:48:57,16212,15973,81,48,4375684,4350827,36315,10863
2012-03-16 13:49:07,16782,16272,137,319,4497718,4423992,70079,60051
2012-03-16 13:49:17,18896,17802,101,898,5379249,5169426,50009,195581
2012-03-16 13:49:27,19275,18999,349,93,5436375,5406107,366519,16581
2012-03-16 13:49:37,15292,15052,101,51,4453810,4434951,56106,5403
2012-03-16 13:49:47,17703,17195,106,325,5139219,5054126,68196,71913
2012-03-16 13:49:57,17919,16989,74,737,4746927,4574347,40318,158818
2012-03-16 13:50:07,26902,26644,85,54,13865043,13838295,49382,12241
2012-03-16 13:50:17,15843,15607,124,47,4495455,4474377,77488,7390
2012-03-16 13:50:27,16776,16504,104,83,4625879,4599153,73421,12545
2012-03-16 13:50:37,17194,16918,19,90,4569022,4542738,7317,13142
2012-03-16 13:50:47,17152,16907,18,58,4667693,4646058,20375,8157
2012-03-16 13:50:57,17343,17080,229,84,4826535,4805184,290227,8581
2012-03-16 13:51:07,15491,15269,227,36,4842769,4825149,232541,4285
2012-03-16 13:51:17,18035,17765,616,70,5477064,5455281,823403,7443
2012-03-16 13:51:27,17196,16953,12,46,4658225,4638048,2108,5140
2012-03-16 13:51:37,17932,17697,66,53,4841629,4818698,27995,9993
2012-03-16 13:51:47,18012,17783,381,42,5075472,5056688,472373,5112
2012-03-16 13:51:57,15953,15713,68,44,5068885,5048893,36437,5508
2012-03-16 13:52:07,17621,17384,85,48,4659538,4640997,45501,4952
2012-03-16 13:52:17,27141,26903,205,48,14613580,14593285,241841,6651
2012-03-16 13:52:27,19219,18948,396,74,6299548,6276035,481997,8274
2012-03-16 13:52:37,15383,15138,88,46,4355363,4335414,48657,5615
2012-03-16 13:52:47,24538,24294,122,51,11344994,11326052,102621,5188
2012-03-16 13:52:57,20120,19886,103,69,7112353,7093110,53534,7313
2012-03-16 13:53:07,18823,18560,100,76,5742235,5719076,67441,9880
2012-03-16 13:53:17,18313,18120,132,22,5132602,5118069,91923,2417
2012-03-16 13:53:27,22436,22203,465,36,9144551,9125833,401258,3737
2012-03-16 13:53:37,21289,21053,26,55,7582465,7564200,5573,5429
2012-03-16 13:53:47,19930,19701,176,40,6911974,6894098,91036,4448
2012-03-16 13:53:57,20406,20161,137,48,6643549,6622996,152549,6467
2012-03-16 13:54:07,19140,18855,272,104,5580603,5556796,361266,10940
2012-03-16 13:54:17,17051,16799,312,73,5258729,5237256,293953,8797
2012-03-16 13:54:27,18478,18178,154,114,4932899,4906192,153660,12522
2012-03-16 13:54:37,20745,17973,214,118,4944448,4759300,136138,14042
2012-03-16 13:54:47,26528,23535,1,137,5199483,4999618,175,15581
2012-03-16 13:54:57,28352,25203,56,229,5418150,5198385,47824,31451
2012-03-16 13:55:07,26022,25764,577,67,7498959,7479194,814756,6132
2012-03-16 13:55:17,20560,20343,259,35,5343378,5325963,357412,4465
2012-03-16 13:55:27,19196,18895,113,116,4169638,4141850,54328,13619
2012-03-16 13:55:37,19218,18930,221,87,4836555,4812321,301260,9760
2012-03-16 13:55:47,22624,22265,360,175,7422852,7391286,176847,18570
2012-03-16 13:55:57,27646,27357,312,109,10744611,10719523,164802,12130
2012-03-16 13:56:07,19761,19510,32,58,4888524,4866226,19702,8553
2012-03-16 13:56:17,24187,23943,40,57,9023965,9002323,42976,8398
2012-03-16 13:56:27,19023,18754,30,75,3481789,3456538,17897,10758
2012-03-16 13:56:37,16504,16229,17,71,3596824,3571517,5609,10561
2012-03-16 13:56:47,24803,24534,25,80,9718219,9694298,11714,10471
2012-03-16 13:56:57,19694,19480,117,29,4319792,4302046,137599,4646
2012-03-16 13:57:07,18378,18084,85,106,3292559,3267717,46719,11205
2012-03-16 13:57:17,17942,17729,749,33,4487534,4471363,1016187,3435
2012-03-16 13:57:27,23117,22878,274,51,5528960,5509350,112358,5537
2012-03-16 13:57:37,23398,23164,885,46,5785951,5767565,856358,4892
2012-03-16 13:57:47,22753,22490,411,68,5030364,5004218,199382,12098
2012-03-16 13:57:57,19800,19568,309,43,4200172,4181719,193449,5105
2012-03-16 13:58:07,17426,17160,335,74,3519743,3495805,187206,9999
2012-03-16 13:58:17,22917,22660,520,76,5494069,5473373,534058,7884
2012-03-16 13:58:27,18912,18692,185,35,3482147,3463075,106484,5173
2012-03-16 13:58:37,21052,20770,380,95,4901176,4878356,399321,9356
2012-03-16 13:58:47,17914,17540,121,188,3754954,3721842,56438,19928
2012-03-16 13:58:57,18612,18368,113,56,3406667,3386978,72751,6429
2012-03-16 13:59:07,18022,17723,10,109,3266781,3241266,5150,11826
2012-03-16 13:59:17,22374,21447,190,235,3921195,3739309,112887,63068
2012-03-16 13:59:27,23875,23313,752,159,6650551,6545220,1033238,41154
2012-03-16 13:59:37,18829,18578,149,65,5180443,5160137,83949,6940
2012-03-16 13:59:47,21244,20401,76,175,4348655,4186739,79603,51614
2012-03-16 13:59:57,18314,17962,81,60,3322122,3273940,45568,13020
2012-03-16 14:00:07,18345,18035,63,46,3376326,3351161,62710,6146
2012-03-16 14:00:17,19850,19585,389,68,3767348,3745150,338829,8183
2012-03-16 14:00:27,20766,20466,192,94,3853420,3827597,118748,9833
2012-03-16 14:00:37,19697,19378,184,112,3541932,3512917,120945,13655
2012-03-16 14:00:47,21090,20807,490,59,3958752,3933401,417958,9002
2012-03-16 14:00:57,21279,20951,459,110,3992575,3963354,296630,13288
2012-03-16 14:01:07,18205,17957,240,51,3801675,3781128,104771,6064
2012-03-16 14:01:17,20777,20521,471,57,4209801,4188918,312640,6523
2012-03-16 14:01:27,21774,21510,283,47,3868867,3847230,130312,5249
2012-03-16 14:01:37,22323,22057,1111,67,5475091,5450999,1402285,9703
2012-03-16 14:01:47,21238,20954,204,94,3931996,3906060,70330,11460
2012-03-16 14:01:57,18071,17815,229,53,3584616,3564122,165230,6072
2012-03-16 14:02:07,20410,20148,703,78,4269831,4246194,809810,10348
2012-03-16 14:02:17,18627,18364,34,80,3423429,3392065,11895,18215
2012-03-16 14:02:27,20856,20598,805,72,4598075,4571591,1005008,12591
