jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|sensorParams|encoders|size_tcp:n,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|size_http:n,  modelParams|sensorParams|encoders|total_tcp:n,  modelParams|sensorParams|encoders|size:n,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|total_http:n,  modelParams|sensorParams|encoders|total:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|sensorParams|encoders|total_udp:n,  modelParams|spParams|synPermInactiveDec,  modelParams|sensorParams|encoders|size_udp:n,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=total,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=total, 
1005,  1815,  completed,  eof,  2019-03-31 04:30:48,  2019-03-31 04:30:51,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.54233558816.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0132062902587.modelParams|sensorParams|encoders|_classifierInput|n_144.modelParams|spParams|synPermInactiveDec_0.0660807340822,  361,  10,  None,  13,  9.54233558816,  2,  None,  0.0132062902587,  None,  None,  None,  None,  None,  None,  144,  None,  0.0660807340822,  None,  6283.75610667,  26.2472334458, 
1005,  1816,  completed,  eof,  2019-03-31 04:30:50,  2019-03-31 04:30:52,  2,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0327244173644.modelParams|sensorParams|encoders|_classifierInput|n_232.modelParams|spParams|synPermInactiveDec_0.0648403209429,  361,  10,  1,  15,  None,  2,  None,  0.0327244173644,  None,  None,  None,  None,  None,  None,  232,  None,  0.0648403209429,  None,  6377.99853056,  26.6408838132, 
1005,  1817,  completed,  eof,  2019-03-31 04:30:50,  2019-03-31 04:30:53,  3,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|total:n_91.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00285191774054.modelParams|sensorParams|encoders|_classifierInput|n_72.modelParams|spParams|synPermInactiveDec_0.0823646184885.modelParams|tmParams|activationThreshold_12,  361,  10,  None,  12,  None,  1,  None,  0.00285191774054,  None,  None,  None,  None,  None,  91,  72,  None,  0.0823646184885,  None,  6551.72062704,  27.3665205731, 
1005,  1818,  completed,  eof,  2019-03-31 04:30:51,  2019-03-31 04:30:54,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0305722183257.modelParams|sensorParams|encoders|_classifierInput|n_187.modelParams|sensorParams|encoders|total_udp:n_147.modelParams|spParams|synPermInactiveDec_0.083119114903,  361,  10,  None,  13,  None,  2,  None,  0.0305722183257,  None,  None,  None,  None,  None,  None,  187,  147,  0.083119114903,  None,  9549.76854117,  39.8893591665, 
1005,  1819,  completed,  eof,  2019-03-31 04:30:51,  2019-03-31 04:30:53,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|sensorParams|encoders|size_tcp:n_33.modelParams|clParams|alpha_0.00112306435707.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.0921044089791,  361,  10,  None,  12,  None,  1,  33,  0.00112306435707,  None,  None,  None,  None,  None,  None,  28,  None,  0.0921044089791,  None,  17446.605277,  72.8744263411, 
1005,  1820,  completed,  eof,  2019-03-31 04:30:52,  2019-03-31 04:30:55,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|size_udp:n_34.modelParams|sensorParams|encoders|_classifierInput|n_39.modelParams|spParams|synPermInactiveDec_0.0898159335719,  361,  10,  None,  12,  None,  1,  None,  0.0001,  None,  None,  None,  None,  None,  None,  39,  None,  0.0898159335719,  34,  9566.50369424,  39.9592618587, 
1005,  1821,  completed,  eof,  2019-03-31 04:30:53,  2019-03-31 04:30:56,  3,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0264930504464.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_2.91144211406.modelParams|sensorParams|encoders|_classifierInput|n_261.modelParams|spParams|synPermInactiveDec_0.0724656288722,  361,  10,  None,  13,  None,  2,  None,  0.0264930504464,  None,  None,  None,  2.91144211406,  None,  None,  261,  None,  0.0724656288722,  None,  6360.68923611,  26.5685829339, 
1005,  1822,  completed,  eof,  2019-03-31 04:30:53,  2019-03-31 04:30:55,  2,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.95738911631.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00135224456314.modelParams|sensorParams|encoders|_classifierInput|n_112.modelParams|spParams|synPermInactiveDec_0.0735320491656,  361,  10,  None,  13,  9.95738911631,  1,  None,  0.00135224456314,  None,  None,  None,  None,  None,  None,  112,  None,  0.0735320491656,  None,  6264.15510667,  26.1653601181, 
1005,  1823,  completed,  eof,  2019-03-31 04:30:54,  2019-03-31 04:30:56,  2,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0259310012279.modelParams|sensorParams|encoders|_classifierInput|n_188.modelParams|spParams|synPermInactiveDec_0.0731667081141,  361,  10,  1,  13,  None,  3,  None,  0.0259310012279,  None,  None,  None,  None,  None,  None,  188,  None,  0.0731667081141,  None,  6298.6111,  26.3092827155, 
1005,  1824,  completed,  eof,  2019-03-31 04:30:55,  2019-03-31 04:30:57,  2,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|total:n_34.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|_classifierInput|n_39.modelParams|spParams|synPermInactiveDec_0.0898159335719.modelParams|tmParams|activationThreshold_12,  361,  10,  None,  12,  None,  1,  None,  0.0001,  None,  None,  None,  None,  None,  34,  39,  None,  0.0898159335719,  None,  9391.59798697,  39.2286811596, 
